"","number","snippet","type_of_material"
"1402",1402,"HARRISBURG, Nov. 6.--""The question which we must now try out is whether the by-laws of the Miners' Union shall prevail against the great needs of the people and whether the 'supreme authority' of any non-govern  mental body can be substituted for ...","Front Page"
"1403",1403,"Between voting and trying to win a prize on the links later in the day, the golfers of Apawamis put in a busy election day on their course at Rye.  ","Article"
"1404",1404,"","Article"
"1405",1405,"","Article"
"1406",1406,"","Article"
"1407",1407,"","Article"
"1408",1408,"CAMBRIDGE, Mass., Nov. 5.--The heavy storm today made it impossible for the Harvard football players to work outside and the Varsity, subs, and scrubs all crowded into the baseball eage to go through the motions, at least. The coaches had no heart...","Article"
"1409",1409,"","Article"
"1410",1410,"","Article"
"1411",1411,"","Article"
"1412",1412,"","Article"
"1413",1413,"","Article"
"1414",1414,"","Article"
"1415",1415,"","Article"
"1416",1416,"appointment of C. H. Harrison as Minister to Switzerland urged by J. H. Lewis","Article"
"1417",1417,"Federal, State, and city authorities began investigations yesterday to determine whether the increase of 1  cents a quart in Grade B milk, and a corresponding increase in other grades for this month, as announced by the Sheffield Farms Company and...","Front Page"
"1418",1418,"must pay his own ransom unless he can prove Mexican Govt was negligent in affording him protection, U. S. State Dept rules","Front Page"
"1419",1419,"WASHINGTON, Nov. 6.--The Peace Conference has notified the German Government that the peace treaty will not be put into force until Germany fulfills certain obligations under the armistice which have not yet been carried out.","Article"
"1420",1420,"death","Obituary"
"1421",1421,"lr on Admiral Sims's charges against Sinn Feiners","Letter"
"1422",1422,"report that Mexican Govt has refused to refund ransom","Article"
"1423",1423,"The open season for orchestras is here, and after a beginning by the New Symphony Orchestra, the New York Symphony Orchestra made its first appearance yesterday afternoon in Carnegie Hall, followed in the evening ...","Article"
"1424",1424,"dissolved; elections will be held on Dec 13","Article"
"1425",1425,"Ninth Ave trains collide at 145th St; 6 persons injured","Article"
"1426",1426,"Hamburg expects fleet of tank steamers to arrive, belief that operations will soon be resumed in Germany through subsidiary, the German-Amer Petroleum Assoc","Article"
"1427",1427,"metal workers call general strike","Article"
"1428",1428,"striking metal workers in Berlin issue ultimatum to employers; shipping and transport workers strike in Dresden","Article"
"1429",1429,"Despondent because of ill health, Winfred Thaxter Denison, formerly Assistant Attorney General of the United States, threw himself in front of a lowntown local subway train at the Pennsylvania Station early yesterday afternoon and was killed insta...","Article"
"1430",1430,"Sheffield Farms Co announces increase in retail price, gives higher wages as reason for advance","Article"
"1431",1431,"Under the law for Federal operation of the railways the President has power to retain Government control of them for twenty-one months after the proclamation of peace. He gave a year's notice of his intention, nevertheless, to surrender his contro...","Editorial"
"1432",1432,"Black Hawk, yacht, calls for help","Article"
"1433",1433,"Members of the Bomb Squad and the reserves from the Fifth Street Station spent a lively hour last night in breaking up a meeting held in Arlington Hall, 23 St. Mark's Place, under the auspices of an organization calling itself the Communist Party ...","Article"
"1434",1434,"Increase in Sept revenue","Article"
"1435",1435,"","Article"
"1436",1436,"","Article"
"1437",1437,"","Article"
"1438",1438,"From the sentimental point of view the resurrection of the Polish and Czechoslovak States was one of the most gratifying consequences of the war, the recovery of freedom by two ...  ","Editorial"
"1439",1439,"","Article"
"1440",1440,"","Article"
"1441",1441,"","Article"
"1442",1442,"","Article"
"1443",1443,"","Article"
"1444",1444,"BALTIMORE, Md., Nov. 5.--That Sam C. Hildreth has one of the greatest three-year-olds of the year in Mad Hatter was proved quite conclusively here today when this fine son of Fair Play romped off with the Pindico Autumn Handicap at a mile and a qu...","Article"
"1445",1445,"","Marriage Announcement"
"1446",1446,"","Article"
"1447",1447,"","Article"
"1448",1448,"","Article"
"1449",1449,"","Article"
"1450",1450,"","Article"
"1451",1451,"Malagon band kills 20 on train en route to Mexico City","Article"
"1452",1452,"Road race won by J. Saccomano","Article"
"1453",1453,"Program","Article"
"1454",1454,"Randall's Island was thrown into a turmoil at 9 o'clock last night when seventy-five of the 300 boys confined in the House of Refuge made a sudden and concentrated dash for freedom. Forty of them made good their temporary escape, but all but twelv...","Article"
"1455",1455,"report that Tittoni will end negotiations with U. S.","Article"
"1456",1456,"Controller Williams says not one has failed in 1919","Article"
"1457",1457,"ratified","Front Page"
"1458",1458,"Praises efficient, active and watchful service as Sec of Commerce","Article"
"1459",1459,"Luxemburg confers citizenship on him","Article"
"1460",1460,"Ray, Ruth, violin","Article"
"1461",1461,"The Actors' Equity Association is going after Red Cross membership today, at a meeting on the steps of the Public  library. The meeting will be a continuous performance from 12 to 2 o' clock, with a vaudeville show and speeches during the intermis...","Article"
"1462",1462,"INDIANAPOLIS, Nov. 5.--Leaders of the United Mine Workers continue to insist on a meeting with the operators as a means of settling the strike, although they do not say that no other method of settlement would be acceptable.","Article"
"1463",1463,"BERLIN, Nov. 5, Associated Press.)-- Count von Bernstorff was on the stand for a protracted examination regarding the effectiveness of German propaganda in the United States at today's session of the sub-committee of the National Assembly investig...","Article"
"1464",1464,"WASHINGTON, Nov. 6.--Declaring that the Japanese Government ""has tried to prevent workers from forming  organizations,"" Corneille Martens, Belgian labor delegate, read into the record of the international labor conference today a statement ""reproa...","Article"
"1465",1465,"12 killed, 30 hurt in wreck near Paris","Article"
"1466",1466,"Unless the voting clubs of the United States Golf Association fail to ratify the ticket of the Nominating Committee, the Presidency will move westward next year. George H. Walker of the St. Louis Country Club is the committee's choice to succeed F...","Article"
"1467",1467,"In the second installment of the published results of its investigation of the War Risk Insurance Bureau, the American Legion predicts that the Sweet bill, already through the national House, with excellent prospect of passing the ...","Article"
"1468",1468,"returned soldiers will take over protection of mines","Article"
"1469",1469,"WASHINGTON, Nov. 4.--Samuel Gompers, President of the American Federation of Labor, on his arrvial here tonight from New York, issued a statement in which he said that if the injunction against the leaders of the soft coal miners' strike is vacate...","Front Page"
"1470",1470,"5 more negroes convicted of murder","Article"
"1471",1471,"","Article"
"1472",1472,"","Article"
"1473",1473,"","Article"
"1474",1474,"","Obituary"
"1475",1475,"The season of the year has again arrived when the people of the United States are accustomed to unite in giving thanks to Almighty God for the blessings which He has conferred upon our country during the twelve months that have passed. A year ago ...","Article"
"1476",1476,"LOUISVILLE, Ky., Nov. 4.--Edwin P. Morrow, Republican, was elected today Governor of Kentucky over Governor James D. Black, Democrat.","Front Page"
"1477",1477,"WASHINGTON, Nov. 4.--A compilation just completed of crimes during the months of July, August and September of this year in the Tampico oil fields has been placed at the disposal of this Government, it was learned today.","Article"
"1478",1478,"reports to Chicago Assoc of Commerce on crime in Chicago","Article"
"1479",1479,"Socialist leaders yesterday professed to view with satisfaction the result of Tuesday's election, although the returns showed that the party cast fewer votes in the city than in 1917. In that year Morris Hillquit, running for Mayor on the Socialis...","Article"
"1480",1480,"British Foreign Office will parley with Bolshevist Govt for release of 117 British subjects held prisoners","Article"
"1481",1481,"","Article"
"1482",1482,"","Article"
"1483",1483,"","Article"
"1484",1484,"","Article"
"1485",1485,"STRASBOURG, Nov. 4. (Associated Press.)--The solution of the many problems the world is now facing may be summarized in the single word ""work,"" ...","Article"
"1486",1486,"discussed at meeting of civic organizations","Article"
"1487",1487,"elected Mayor of Lackawanna on Socialist ticket","Article"
"1488",1488,"death","Obituary"
"1489",1489,"plan for permanent organization considered; fitting legislation for working mother recommended","Article"
"1490",1490,"German Govt does not consider itself bound to surrender its authority; communication to municipality","Article"
"1491",1491,"Senator WADSWORTH presumably did not need for himself the information which he asked of the State Department as to our reasons for commercial non-intercourse with Bolshevist Russia. But there are a great many well-meaning people in the country who...","Editorial"
"1492",1492,"Kurtz, Max","Article"
"1493",1493,"The Internal Revenue Department of the United States Treasury in ""Regulations 40,"" relating to the stamp tax on issues, sales, and transfers of stock, and sales of products for future delivery, describes in detail how the records ...","Article"
"1494",1494,"Three explosions of unknown origin in the fuel tanks of the auxillary fishing schooner Glena, anchored off Sixty-- ninth street, Bay Ridge, destroyed the vessel yesterday afternoon and caused the death of four of those aboard her and the serious i...","Front Page"
"1495",1495,"Extends membership drive","Article"
"1496",1496,"no chance of game with Penn","Article"
"1497",1497,"Lady Astor receives Lloyd George's indorsement","Article"
"1498",1498,"Troops called out in mining strike","Article"
"1499",1499,"Rutgers College failed to stop the football team of Syracuse University at the Polo Grounds yesterday aternoon, losing a quickly played and rather perfunctory game by the score of 14 to 0.","Article"
"1500",1500,"organized obstruction hampers Boston recruiting","Article"
"1501",1501,"bids offered","Article"
"1502",1502,"Cross-country championship preliminaries","Article"
"1503",1503,"death","Obituary"
"1504",1504,"offices of Amalgamated Clothing Workers of Amer raided by Illinois State Atty's office to find evdence of extortion from Chicago mfrs on threats of strikes and boycotts","Article"
"1505",1505,"More than 3,000 French girls reported to have joined","Article"
"1506",1506,"37 more negroes punished","Article"
"1507",1507,"Joe Benjamin, California light weight, who is being advanced as a formidable contender for the title, justified a lot of the nice things that have been said about him last night at the Newark Sportsmen's Club.","Article"
"1508",1508,"shortage causes Paris cafes to shut at 12 o'clock","Article"
"1509",1509,"cannot end strike, says F. Farrington","Article"
"1510",1510,"LONDON, Nov. 4.--A claim that the Northwestern Russian Army of General Yudenitch, which has been attacking Petrograd, has been surrounded by the Bolsheviki is made in a Soviet Government wireless dispatch from Moscow, date today.","Article"
"1511",1511,"congratulated by W. H. Taft","Article"
"1512",1512,"WASHINGTON, Nov. 6.--The first serious effect of the bituminous coal strike will be borne by ocean steamers flying foreign flags. Orders will go out within the next few hours eliminating all such vessels from the list of ocean carriers which may o...","Front Page"
"1513",1513,"","Article"
"1514",1514,"","Article"
"1515",1515,"","Article"
"1516",1516,"","Article"
"1517",1517,"The first prohibition night found the hotels quite as gay as they have heen in years gone by, contrary to predictions that the town would be ""dead,"" now that prohibition is in full swing.  ","Article"
"1518",1518,"","Article"
"1519",1519,"","Article"
"1520",1520,"","Article"
"1521",1521,"Stocks were churned up and down with a violence yesterday which made it difficult to trace the price trend from one quarter-hour to the next. Opening slightly lower than the preceding day's closing level, quotations gradually, improved until the i...","Article"
"1522",1522,"BALTIMORE, Nov. 6.--With twentythree wards in Baltimore unaccounted for officially, and a difference of thirteen votes in Wicomico County which are not included, Albert L. Ritchie, Democrat, is leading by 156 majority in the closest race for Gover...","Article"
"1523",1523,"body arrives in Salvador","Article"
"1524",1524,"Whalen says new routes are prospering","Article"
"1525",1525,"Some cynical ancients among us have seen Tammany beaten so many time, and blithely resurgent after the beating, that they feel like grinning when, after some particular election, they hear the old stereotyped phrase, ""This is the end of Tammany Ha...","Editorial"
"1526",1526,"murder suspects, J. Kilgus and M. Healy released in $20,000 bail","Article"
"1527",1527,"House Com reports bill proposing stiffening of naturalization laws to make citizenship difficult for radicals","Article"
"1528",1528,"Bud Goodwin, New York A.C. swimmer, who holds several records and formerly held a number of championships, will return to competition during the coming indoor season, it was learned last night.","Article"
"1529",1529,"34,000 unemployed in Barcelona; city authorities will negotiate to end lockout","Article"
"1530",1530,"plans for visit","Article"
"1531",1531,"may be matched with Dempsey","Article"
"1532",1532,"Acting under instruction from the United States Attorney General, A. Mitchell Palmer, Arthur Williams, Federal Food Administrator, announced yesterday that he had called a conference for early next week at which a fair-price schedule for clothing,...","Article"
"1533",1533,"BOSTON, Nov. 5.--Governor Coolidge was today perhaps the happiest and the busiest man in the Commomwealth While it was freely predicted that he would win by a substantial majority, there was not a single leader in either political party who dreame...","Article"
"1534",1534,"The Election Day visitors at the Sleepy Hollow Country Club in Scarborough saw a miracle yesterday on the golf links.","Article"
"1535",1535,"Nominations for election","Article"
"1536",1536,"Mr. SCHWAB rivals Judge GARY in the serenity with which he meets a crisis, and both earn the right to counsel others to follow their example.","Editorial"
"1537",1537,"Mayor Hylan yesterday sent a letter to Police Commissioner Enright asking him to take ""stern and prompt"" measures against possibility of disorder at the mass meeting to be held Saturday afternoon at Rutgers Square by the Communist Party.","Article"
"1538",1538,"plane will start tonight","Article"
"1539",1539,"leads for election as Dist Atty of San Francisco","Article"
"1540",1540,"A good deal of the strength of the movement for the public ownership of public utilties are always been attributed to the support of the labor unions. If this be true, it is likely that much of that support will be alienated because of what is hap...","Editorial"
"1541",1541,"troops at Alabama mines","Article"
"1542",1542,"PARIS, Nov. 5.--The Allies are divided over Rumania, England and America favor holding her to the terms of the Peace Conference and making her cense her disregard of them. France and Italy favor dealing softly with the new Ministries of the Balkan...","Article"
"1543",1543,"death","Obituary"
"1544",1544,"Matinee","Article"
"1545",1545,"The country should again and at once give its attention to the proceedings of the United States Senate in respect to the Peace Treaty. During the interval when the thoughts of the people have been diverted to the annual elections or to the industr...","Editorial"
"1546",1546,"last of soldiers' brides leaves Brest on way to U. S.","Article"
"1547",1547,"death","Obituary"
"1548",1548,"The third Red Cross rollcall brought out Ethel Barrymore yesterday against the orders of her physician and, with John Drew, Peggy Wood, and Ruth Shepley helping her pin buttons on new members, and Eddle Cantor, Frank ...","Article"
"1549",1549,"Elections","Article"
"1550",1550,"appointed Chief of N Y Ordnance District and Chairman of N Y Claims Bd","Article"
"1551",1551,"Paul Warburg, the banker who was Vice Governor of the Federal Reserve Board during the war, returned yesterday on the Holland-America liner New Amsterdam from a three months trip to Europe, where he went to study financial conditions.","Article"
"1552",1552,"","Article"
"1553",1553,"","Article"
"1554",1554,"","Obituary"
"1555",1555,"That public sentiment draws a clear distinction between the fact of prohibition and the methods of its most ardent advocates would seem to be a fair deduction from the elections in which the issue played the leading part. Ohio, which a year ago vo...","Editorial"
"1556",1556,"","Birth Notice"
"1557",1557,"","Article"
"1558",1558,"PITTSBURGH, Nov. 6.--Today more coal was run from the non-union mines of Western Pennsylvania than on any day since the nation-wide coal strike started. The increase amounted to between 15 and 20 per cent., according to mine officials, with the re...","Front Page"
"1559",1559,"","Article"
"1560",1560,"","Article"
"1561",1561,"Poulet arrives near Constantinople","Article"
"1562",1562,"gets jail sentence for picketing in Utica textile workers' strike","Article"
"1563",1563,"It was a day of wrath and chastisement for CHARLES F. MURPHY, for all who profess and practice the Tammany theory of politics, MR. MURPHY, long accustomed to treat every office as his personal property, to be conferred ...","Editorial"
"1564",1564,"Senator HITCHCOCK is trying to save the Treaty from destruction even by resort to the extreme measure of defeating by the votes of thirty-three or more Democratic Senators the Republican resolution of ratification embodying conditions and reservat...","Editorial"
"1565",1565,"Wally Chandler's good right foot saved the day for Erasmus Hall High School's football eleven yesterday in a clash with Manual Training High School in their annual gridiron meeting at Ebbets Field.","Article"
"1566",1566,"Amer syndicate headed by Kuhn, Loeb & Co buys Lyons, Marseilles, and Bordeaux issues","Article"
"1567",1567,"Possibilities for the foreign expansion of the American automobile trade are strikingly illustrated by the increase in motor vehicles of United States make in Chile, which is chronicled in a report just issued by the Department of Commerce in Wash...","Article"
"1568",1568,"Public votes to oust street cars","Article"
"1569",1569,"Aero Club announces rules for contest; women pilots may enter","Article"
"1570",1570,"Gompers answered by Bd of Temperance of Methodist Episcopal Church","Article"
"1571",1571,"Sure, Louis Zeltner was elected to the  Board of Aldermen. This did not sur  prise the votes of the Fourth Alder  manic District, for hundreds who live  in the part of the city were 291 Henry  Street, Louis's home is, remained up  late election ni...","Article"
"1572",1572,"Contributions","Article"
"1573",1573,"PARIS, Nov. 6.--Optimism over the financial future of France was expressed by Louis Klotz, the Minister of Finance, at a luncheon given today by the economic and financial press. The rehabilitation of the country, he said, depended upon confidence...","Article"
"1574",1574,"BALTIMORE, Md., Nov. 5.--Indications tonight, with practically all counties accounted for, are that Albert C. Ritchie, Democrat, has been elected Governor of Maryland over Harry W. Nice, Rrepublican, by the narrow margin of 327 votes. With Garrett...","Front Page"
"1575",1575,"Headquarters of the several parties and the rival candidates were centres of humming activity while the returns from the election were being received last night.","Article"
"1576",1576,"home of M. Schokoff, employe of Amer Steel and Wire Co, is damaged by bomb explosion","Article"
"1577",1577,"The insurgent faction of the striking longshoremen, headed by Richard Butler, appealed yesterday to Samuel Gompers, President of the American Federation of Labor, to use his good ...","Article"
"1578",1578,"WASHINGTON, Nov. 5.( Associated Press.)--Assurances were again given by the Government today in reply to inquiries that every protection would be afforded union or non-union miners willing to remain at work.","Article"
"1579",1579,"PLYMOUTH, Nov. 5. (Associated Press.)--Every one in Plymouth knows that a political campaign is in progress. Nearly every man, woman and child  knows at least one of the candidatesLady Astor. Before the campaign began she was reputed to know more ...","Article"
"1580",1580,"","Article"
"1581",1581,"","Article"
"1582",1582,"NEW HAVEN, Conn., Nov. 4.--Tested for endurance and defense, the Yale football eleven was sent through forty minutes scrimmaging this afternoon, twentyfives of which was devoted to trying out the ability of the team to handle forward passes.  ","Article"
"1583",1583,"Traders in stocks were so favorably improssed with the election results yesterday, particularly with the voting in Massachusetts, that they forgot for a time the credit situation and the Federal Reserve Bank's pointed declaration about the use of ...","Article"
"1584",1584,"","Article"
"1585",1585,"PRINCETON, N.J., Nov. 6.--A last hard, driving practice for the team, two huge, serpentine parades, or, as tradition had it on the campus as far back as memory goes, ""b-rades,"" a tremendous mass meeting of howling, cheering, loyal undergraduates, ...","Article"
"1586",1586,"","Article"
"1587",1587,"","Article"
"1588",1588,"","Article"
"1589",1589,"","Article"
"1590",1590,"","Marriage Announcement"
"1591",1591,"","Article"
"1592",1592,"","Article"
"1593",1593,"","Article"
"1594",1594,"","Article"
"1595",1595,"","Article"
"1596",1596,"","Article"
"1597",1597,"","Article"
"1598",1598,"","Article"
"1599",1599,"","Article"
"1600",1600,"","Article"
"1601",1601,"COLUMBUS, Ohio, Nov. 6.--With figures of Tuesday's polling still incomplete, both Anti-Saloon League headquarters and the Ohio Home Rule Association headquarters claim victory on the question of ratification of national prohibition.","Article"
"1602",1602,"praises Anglo-Amer unity in speech at luncheon of Assoc of Foreign Press Correspondents in his honor","Article"
"1603",1603,"building strike at Lille settled","Article"
"1604",1604,"WASHINGTON, Nov 4.--The Federal Trade Commission has filed formal complaint of unfair competition against the United Typothetae of America and seven of its officers, alleging that the commission has reason to believe that the ...","Article"
"1605",1605,"located at Yale Univ","Article"
"1606",1606,"The Extraordinary Grand Jury, which seemed to confine its attention yesterday to certain police matters, has apparently started a general investigation of the city administration in the search for evidence of ""a crime,"" which the jurymen informed ...","Front Page"
"1607",1607,"Quarterly divd","Article"
"1608",1608,"says plans have been disclosed in Chicago for electric plane designed to make world flight","Article"
"1609",1609,"Report for 9 mos","Article"
"1610",1610,"On the surface it would seem that the miners and the Government lawyers are ""digging in"" for a trial on the merits of the injunction rather than on the merits of the strike. The injunction is not against striking, but ...","Editorial"
"1611",1611,"Pres J. S. Wannamaker wants 2,000,000 bales of cotton held from market","Article"
"1612",1612,"Dutch Govt announces no offer has been received from U. S. for purchase of Dutch colonies","Article"
"1613",1613,"striking metal workers issue ultimatum","Article"
"1614",1614,"3 killed, 2 dying after eating canned corn","Article"
"1615",1615,"reported dying","Article"
"1616",1616,"LONDON, Nov. 5.--The Daily Chronicle's Parliamentary correspondent says he understands that the Ministerial Committee on Ireland met yesterday and agreed with practical unanimity upon a plan for the settlement of the Irish controversy. The corresp...","Article"
"1617",1617,"Contest for Columbia, Harvard and Yale under consideration","Article"
"1618",1618,"Govt puts nearly 200 wooden hulls of Ferris on market","Article"
"1619",1619,"Returns from the elections to the Legislature indicate a greatly increased Republican majority in the Legislature, owing to the sensational Republican sweep in this city. Up State the Democrats more than held their own, losing one seat and gaining...","Front Page"
"1620",1620,"has final test before non-stop flight to Chicago","Article"
"1621",1621,"gets 10-year sentence for larceny","Article"
"1622",1622,"incomplete returns indicate defeat for Cleveland Councilman","Article"
"1623",1623,"refuses to reinstate older men at request of younger members","Article"
"1624",1624,"Complete returns from Tuesday's election when they became available yesterday showed that Representative Fiorello H. La Guardia, Republican candidate for President of the Board of Aldermen, had received a plurality of 1,363 over Robert L. Moran. h...","Front Page"
"1625",1625,"The streets of New York were quieter last night than on any election night  in recent years. It was New York's first ""dry"" election night. Besides that, interest in the results was appar  ently slight. Where the bulletins were displayed, there was...","Article"
"1626",1626,"","Article"
"1627",1627,"","Article"
"1628",1628,"","Article"
"1629",1629,"","Article"
"1630",1630,"","Article"
"1631",1631,"Planned","Article"
"1632",1632,"O'Dowd, Mike, vs Kramer","Article"
"1633",1633,"Saxon miners vote to work longer to increase output","Article"
"1634",1634,"G. Cuenin arrested on charge of bookmaking; handwriting experts examine tickets","Article"
"1635",1635,"Not one of the candidates up for election was as happy last night as Bertha Rembaugh, who ran for Justice of the Municipal Court in Use First District. At 9:30 last evening Miss Rembaugh was sitting before a wood fire blazing in a charming old fir...","Article"
"1636",1636,"statement by T. A. Bell, atty for California Grape Protective Assoc","Article"
"1637",1637,"William A. Brady, following a meeting of a committee of theatrical managers last night to consider ways and means of combating illegal ticket speculation, characterized the present situation as ""intolerable,"" and laid the blame for non-enforcement...","Article"
"1638",1638,"What particular joy do our Socialist friends get out of Tuesday's elections? It seems that they profess ""to view with satisfaction"" the result. What result? The result that they cast a smaller vote in New York City than in ...","Editorial"
"1639",1639,"elected to N. Y. Sen","Article"
"1640",1640,"advance of discount rates","Article"
"1641",1641,"death","Article"
"1642",1642,"wires C. F. Murphy, after elections, ""Look what I did to you,""","Front Page"
"1643",1643,"Reds recruit 80,000 troops, including Bashkars and Chinese","Article"
"1644",1644,"PLYMOUTH, Nov. 5.--As the local election contest develops, lady Astor's chief opponents, those of the Labor Party, think they have detected a weakness in her equipment. They have noticed that she avoids discussing political issues except generally...","Article"
"1645",1645,"WASHINGTON, Nov. 6.--The United States Government on Saturday at Indianapolis will urge Judge Anderson of the Federal court of Indiana to include in the restraining order which the Government will ask a mandatory order directed ...","Front Page"
"1646",1646,"cremated","Article"
"1647",1647,"pays $100,000 for seat on N Y Stock Exchange","Article"
"1648",1648,"Plans for an aerial passenger service which will exceed even the visions of a Verne are being made by the Northern Aerial Syndicate of Great Britain, according to a recent report to the Department of Commerce from Trade Commissioner Henry F. Grady...","Article"
"1649",1649,"tells Sen Com of U. S. army supplies sent abroad","Article"
"1650",1650,"New Symphony Orchestra concert","Article"
"1651",1651,"Balsinger loses suit","Article"
"1652",1652,"Merges important coal holdings in West Va","Article"
"1653",1653,"American business has assumed a very important position in relation to world commerce, and there is a keen growing interest in American business methods. One of these which is claiming much attention in some countries is American advertising.","Article"
"1654",1654,"Supreme Council of Peace Conference decides to hold sessions in Paris","Article"
"1655",1655,"LONDON, Nov. 4.--A parliamentary paper made public today containing secret evidence in the inquiry into the sinking of the Cunard liner Lusitania shows that Captain W.T. Turner of the Lusitania admitted that he disobeyed ...","Article"
"1656",1656,"shortage becomes more critical; Govt urged to take steps","Article"
"1657",1657,"results of elections","Article"
"1658",1658,"Prof See, in address before Cal Academy of Sciences, says eclipses of moon have screening effect on gravitation","Article"
"1659",1659,"vote in detail","Article"
"1660",1660,"","Birth Notice"
"1661",1661,"BALTIMORE, Md., Nov. 4.--The Manly Memorial Steeplechase Handicap, with a value of $10,000, was won here today by J.E. Widener's Duettiste, which proved that he is quite the best cross-country performer now in training ...  ","Article"
"1662",1662,"","Article"
"1663",1663,"","Article"
"1664",1664,"","Article"
"1665",1665,"","Article"
"1666",1666,"","Article"
"1667",1667,"","Article"
"1668",1668,"","Article"
"1669",1669,"","Article"
"1670",1670,"After several days of sensational advance the cotton market yesterday experienced what may be regarded as a perfectly natural and normal reaction. The spot markets, both here and at Liverpool, were also reactionary, and this, too, was a perfectly ...","Article"
"1671",1671,"","Article"
"1672",1672,"Changes in the baseball rules to curb freak pitching in the major leagues will probably be made when the joint rules committee of the two leagues get together next month, according to an opinion expressed by President John A. Heydler of the Nation...","Article"
"1673",1673,"","Article"
"1674",1674,"","Article"
"1675",1675,"","Article"
"1676",1676,"Attempted propaganda among Federal troops","Article"
"1677",1677,"CHICAGO, Nov. 5.--Beginning of curtailed railroad service and the pinch of inadequate supplies of soft coal in several States today marked the fifth day of the miners strike. So far as the strike itself was concerned there was little change, altho...","Article"
"1678",1678,"Greenleaf makes world's record run of 155 balls in exhibition match","Article"
"1679",1679,"Orders ballot boxes guarded","Article"
"1680",1680,"In the Beethoven Association are united a large number of some of the finest and most distinguished artists now before the public, vocal and Instrumental, with the purpose of giving, without profit to themselves, a series of ...","Article"
"1681",1681,"France and England move to modify them","Article"
"1682",1682,"Representative Reuben H. Haskell, successful Republican candidate for County Judge of Kings County, who on late returns, led his victorious Republican running mate, Judge Norman S. Dike, by some 10,000 votes, distancing his nearest Democratic oppo...","Article"
"1683",1683,"tube worth $6,000 disappears from Phila hospital room","Article"
"1684",1684,"","Article"
"1685",1685,"","Article"
"1686",1686,"","Article"
"1687",1687,"","Article"
"1688",1688,"","Article"
"1689",1689,"","Article"
"1690",1690,"PHILADELPHIA, Penn., Nov. 6.-- The University of Pennsylvania football squad held its final workout today prior to the contest with Dartmouth at New York Saturday. It spent the greater part of the time in building up a defense for the Dartmouth pl...","Article"
"1691",1691,"BALTIMORE, Nov. 6.--In the hardest test he has been put to this season, Sam C. Hildreth's Dominique proved here today that he is the best two-year-old left in training, and one of the two or three best of the year.  ","Article"
"1692",1692,"","Article"
"1693",1693,"Americans of Polish origin will be asked to assist loan","Article"
"1694",1694,"WASHINGTON, Nov. 5.--The Interstate Commerce Committees of the House and the Senate agreed on a tentative program today to protect both the railroads and the public should the railroads by turned back to private ownership on Jan. 1 as President Wi...","Front Page"
"1695",1695,"General Federation of Labor organizes economic council to nationalize industries of France","Article"
"1696",1696,"Declaring that Congress had violated its power in passing the Wartime Prohibition law and the Enforcemcnt act, Elihu Root asserted before Judge Learned Hand yesterday that the law was passed under false pretenses and not for the purpose of carryin...","Article"
"1697",1697,"LONDON, Nov. 5.--A headquarters bulletin from General Denikin, received by wireless, claims that Don Cossack troops captured 35,000 Bolshevki between Oct. 17 and 27. The troops of General Denikin's volunteer army in the meantime took 20,000 more. ...","Article"
"1698",1698,"Despite the victory of the ""drys"" in Ohio, the ""wets"" profess to see in election results in six other States an indication of marked public sentiment against prohibition. In a detailed analysis of the returns the Association Opposed to National Pr...","Article"
"1699",1699,"Report of loan negotiated by N Y bank","Article"
"1700",1700,"PLYMOUTH, Nov. 4, (Associated Press.)--Lady Astor today made her first official speeches in the campaign which is to determine whether an American born woman shall be the first of her sex to sit in the House of Commons.","Article"
"1701",1701,"progress of drive","Article"
"1702",1702,"Dr J. Oldfield says part fruit diet keeps persons young","Article"
"1703",1703,"decorations bestowed upon Prof R. Gotthell and Mrs Cofer","Article"
"1704",1704,"","Article"
"1705",1705,"","Article"
"1706",1706,"","Article"
"1707",1707,"","Article"
"1708",1708,"","Article"
"1709",1709,"Millrose A.A. officials expect their team to make a strong bid for the National A.A.U. senior cross-country championship title in the annual struggle which will be held Nov. 29 at Van Cortlandt Park. The Millrose team is training hard for the comi...","Article"
"1710",1710,"","Article"
"1711",1711,"strike weakens in Col district","Article"
"1712",1712,"The serious breach between the Yankees and President Ban Johnson of the American League was widened yesterday when Johnson refused point blank to meet the joint National Commission committee of which Colonel Jacob Ruppert of the New York club is a...","Article"
"1713",1713,"Both The Iron Trade Review and The Iron Age report that so far iron and steel production has not been hurt by the coal strike. The former reports that something appraoching a famine has developed in the pig iron markets as far as spot delivery is ...","Article"
"1714",1714,"Coal shortage","Article"
"1715",1715,"WASHINGTON, Nov. 5.--Insistent talk was in the air at the Capitol today that the ""Battalion of Death"" among the Republican Senators, reinforced by irreconcilables among the Democrats, had obtained the assurance of enough support within the last fe...","Article"
"1716",1716,"PITTSBURGH, Nov. 5.--Five striking coal miners, four of them overseas veterans, of the late war, were denied citizenship this morning in the United States Courts by Federal Judge Orr.","Article"
"1717",1717,"registration figures","Article"
"1718",1718,"Gillespie, Margt, burned to death","Article"
"1719",1719,"Mr. GOMPLERS expresses the opinion that if the United States should abandon the enforcement of the law forbidding conspiracies against production or food alld fuel in wartime the coal strike could be settled by arrangement between the parties to t...","Editorial"
"1720",1720,"plurality of Moore","Article"
