"","number","abstract","section_name"
"374",374,"The Massachusetts senator told reporters that her plan to pay for “Medicare for all” would raise taxes only on billionaires, but that differs from the proposal she unveiled on Friday.","U.S."
"375",375,"Read the documents The Times gathered to understand breath-testing machines, and the problems that have caused tens of thousands of tests to be thrown out.","Business Day"
"376",376,"Can you find Gambia on a map? What else do you know about this African nation with about 2.3 million people?","The Learning Network"
"377",377,"Here’s what you need to know about the week’s top stories.","Briefing"
"378",378,"This week’s episode began with a rare cameo-free cold open, which spoofed Elizabeth Warren.","Arts"
"379",379,"To give New York City Marathon finishers a hard-won souvenir — their names in print — we rushed to scan more than 30,000 names, and publish as many as we could the next day.","Reader Center"
"380",380,"The Kentucky governor’s race has turned into a kind of testing ground to see how transgender issues could rally support for President Trump.","U.S."
"381",381,"These three states have major races that will signal the intensity of Republican support for President Trump and the degree of Democratic strength in the suburbs.","U.S."
"382",382,"Sarah Miller’s “The Miracle and Tragedy of the Dionne Quintuplets” captures the sad situation of five little girls who became a Depression-era spectacle.","Books"
"383",383,"Alcohol breath tests, a linchpin of the criminal justice system, are often unreliable, a Times investigation found.","Business Day"
"384",384,"For just over two hours Sunday, the New York City Marathon returned the sport to simplicity. Don’t expect it to last.","Sports"
"385",385,"The N.B.A. season has been more strange than exciting, because of injuries and poor play, but there have been a few surprising story lines.","Sports"
"386",386,"The Chinese president gave strong backing to the Hong Kong chief executive, whose resignation has been sought by the territory’s pro-democracy movement.","World"
"387",387,"Emissions of CFC-11, which had risen unexpectedly since 2012, appear to have fallen off in the last two years.","Climate"
"388",388,"On his first tour since admitting misconduct, the comedian’s theme was the cathartic release of transgression as he delivered bits about his mother’s death and religion.","Arts"
"389",389,"My eighth marathon was not pretty. But I broke six hours. Barely.","Sports"
"390",390,"This word has appeared in 465 articles on NYTimes.com in the past year.","The Learning Network"
"391",391,"Oklahoma has one of the nation’s highest incarceration rates, but a law downgrading minor crimes is the first step in an effort to change that.","U.S."
"392",392,"Beltran, a nine-time All-Star who played almost seven seasons with the Mets, has never coached or managed. But he has a reputation for establishing a strong rapport with other players.","Sports"
"393",393,"Uogashi moved to West 51st Street after a devastating fire in the East Village.","Food"
"394",394,"Mahud Villalaz, a U.S. citizen who received second-degree burns to his face, recalled his attacker saying, “You came here to invade.”","U.S."
"395",395,"Commissioner James P. O’Neill rose from the ranks to lead the country’s largest police force for three years.","New York"
"396",396,"A black cat ran onto the field during the Cowboys-Giants game on Monday. After being chased by stadium workers, the cat eventually ran through a tunnel and away from the field.","Sports"
"397",397,"Who is Girma Bekele Gebre? An Ethiopian runner who was overlooked by just about everyone in the New York City Marathon — until he finished third.","Sports"
"398",398,"The diners and a lawyer demanded changes from the restaurant chain. The company, which fired two managers, said it believed it “can fully and positively address the requests.”","U.S."
"399",399,"This fish, raised in Pacific waters off Baja California, makes a worthy substitute for wild striped bass.","Food"
"400",400,"The bakery has added canelés and craquelins at its branch in Crown Heights, Brooklyn.","Food"
"401",401,"The works, previously credited to Monet, Picasso and Dalí, have been removed from display at Dumfries House in Scotland.","World"
"402",402,"After being booed at the ballpark, the president let bygones be bygones at a White House ceremony for the World Series champion Nationals. But some players stayed away.","U.S."
"403",403,"David Plouffe, the former Obama campaign manager, will advise the effort, which aims to compete with the president on his terms.","U.S."
"404",404,"Substance abuse, early retirement and the loss of her apartment threw Gail Henderson’s life off track. Her faith and charitable support put her on a path to stability.","Neediest Cases"
"405",405,"Joyciline Jepkosgei’s win over Mary Keitany may have signaled a changing of the guard. Geoffrey Kamworor won in New York for the second time.","Sports"
"406",406,"Our village was built to create a peaceful place for women in Syria who have fled war and other hardships. But now our futures are full of danger.","Opinion"
"407",407,"In the Virginia suburbs, a race that could help determine whether Democrats hold unified power in the state isn’t about the culture war. It’s about traffic.","U.S."
"408",408,"The man, identified as Richard Holzer, 27, used several Facebook accounts to promote violence and show support for the Holocaust, the authorities said.","U.S."
"409",409,"How well did you follow the news this past week? How many of these 10 questions can you get right?","The Learning Network"
"410",410,"The decade belonged to Serena Williams, but its final year belonged to young stars like Ashleigh Barty, Naomi Osaka, Bianca Andreescu and Coco Gauff.","Sports"
"411",411,"The Trump administration on Monday moved to weaken regulations aimed at limiting the seepage of lead, arsenic and other toxic pollution into water supplies.","Climate"
"412",412,"“It’s chaos,” said one of the children’s librarians.","New York"
"413",413,"Head to Solana Beach for a swim in the ocean, a couple of beers with friends and live music.","Real Estate"
"414",414,"Bruin Sports Capital built its business with investments around the edges of the sports you watch. A cash infusion could make it a real player.","Sports"
"415",415,"Julio Reyes received help with his rent and textbooks through The New York Times Neediest Cases Fund. Now he is on the verge of becoming a certified public accountant.","Neediest Cases"
"416",416,"There’s no shortage of Christmas markets, holiday shopping and festive entertainment during London’s yuletide season.","Travel"
"417",417,"Classes, apps and message boards are trying to bridge the divide between the left and the right, one conversation at a time.","U.S."
"418",418,"The overall trade deficit continued to widen in the first nine months of 2019, suggesting that the global trade wars haven’t had the desired effect.","U.S."
"419",419,"The actress recalls an explosive confrontation when she demanded he treat her like a human.","Movies"
"420",420,"Angela Hewitt, in the first of three recitals at the 92nd Street Y, began the final phase of her four-year journey through Bach’s complete keyboard works.","Arts"
"421",421,"Things feel chillier in the executive suite than they do at the mall, and the future of a record expansion hangs in the balance.","Business Day"
"422",422,"Boeing was one of two American companies chosen by NASA to develop spacecraft for flying astronauts to the International Space Station.","Science"
"423",423,"It’s 2031. If we can share our city with raccoons and birds, we can learn to live with scooters, too.","Opinion"
"424",424,"Drones are increasingly being used by criminals across the country, and local law enforcement agencies are often powerless to stop them.","U.S."
"425",425,"Shannon Pufahl’s “On Swift Horses” weaves an entanglement of attractions in postwar California.","Books"
"426",426,"The president sought to mobilize what he called an “angry majority” to bolster Matt Bevin, the state’s unpopular incumbent, who was locked in a close race on the eve of the vote.","U.S."
"427",427,"CVS has apologized after a college student in Indiana was unable to buy cold medicine because employees would not accept his identification.","U.S."
"428",428,"Technology at the heart of drunken-driving cases across the country has been successfully challenged, with tens of thousands of tests thrown out.","Business Day"
"429",429,"Fans came for a big-screen experience of Martin Scorsese’s gangster epic at the Belasco Theater, ahead of the film’s arrival on Netflix. They left with a few souvenirs.","Movies"
"430",430,"Plans to put a billion-dollar development in the middle of nowhere point to the revived fortunes of Ihor Kolomoisky, a patron of Ukraine’s new president.","World"
"431",431,"Claudia Fleming’s cult, out-of-print cookbook, “The Last Course,” is being reissued as she emerges from a dark decade.","Food"
"432",432,"Moments after cutting a line for customers ordering the new sandwich, the victim was stabbed in the upper body, the police said. The popular sandwich returned to restaurants on Sunday after a hiatus.","U.S."
"433",433,"The couple disappeared from a campground where they had parked their R.V. Their bodies were found buried on the beach and their deaths ruled homicides.","U.S."
"434",434,"Moscow is plunging deeper into a war of armed drones in a strategic hot spot rich with oil, teeming with migrants and riddled with militants.","World"
"435",435,"He played a comedy club M.C. on the Emmy-winning show. A New York-bred actor, he also had roles on the stage, in movies and in a soap opera.","Arts"
"436",436,"Mr. Volker said that Mr. Trump’s envoys demanded that Ukraine commit to investigating his Democratic rivals.","U.S."
"437",437,"The couple met at Morgan Stanley, each in their first job out of college. Both were analysts in investment banking and sat two desks apart.","Fashion & Style"
"438",438,"Researchers say they believe the debris field off the Philippines is from the U.S.S. Johnston DD-557, which played a pivotal role in the Battle of Leyte Gulf.","U.S."
"439",439,"The artist takes our “Make T Something” challenge and creates a sculpture in under one hour using some unexpected materials.","T Magazine"
"440",440,"Cinema is an art form that brings you the unexpected. In superhero movies, nothing is at risk, a director says.","Opinion"
"441",441,"He has consistently been the worst performer on “Dancing With the Stars.” So why is he still on?","Arts"
"442",442,"The couple met at Stanford, from which each graduated.","Fashion & Style"
"443",443,"The couple met on their first day of work, when, despite the bride living and working in Denver, she was assigned to new hire training in San Jose, where the groom lived.","Fashion & Style"
"444",444,"Under academy rules, international entries must predominantly be in a non-English language. It’s not the first movie to be disqualified for this reason.","Movies"
"445",445,"She has led the way, but all the candidates need to come clean about their health care proposals.","Opinion"
"446",446,"The writer beat out the favorite, Amélie Nothomb, to take France’s top literary honor.","Books"
"447",447,"Yes, you can do something. Citizen-science initiatives like Project FeederWatch are a great way to start.","Opinion"
"448",448,"Mr. Schiff leads the impeachment inquiry into President Trump. Depending on one’s viewpoint, he will either save the republic — or destroy it.","U.S."
"449",449,"The monumental art pieces of Nevada’s Burning Man festival have begun to show up in plazas, parks, museums and galleries across the United States.","Travel"
"450",450,"An excerpt from “The Witches Are Coming,” by Lindy West.","Books"
"451",451,"In a hurry to pay for a soda, mysterious cake boxes and more reader tales of New York City in this week’s Metropolitan Diary.","New York"
"452",452,"The couple met in 2013, when her college roommate, whom he knew from high school, suggested they go out.","Fashion & Style"
"453",453,"The couple met in 2006 at a house party when the bride was visiting a mutual friend at Wesleyan University. They reconnected in 2009 via Facebook.","Fashion & Style"
"454",454,"The couple met in 1999, when their officiant introduced them, and reconnected in 2018.","Fashion & Style"
"455",455,"The couple met in 2014 when a mutual friend invited them to brunch at a Los Angeles restaurant.","Fashion & Style"
"456",456,"To promote their new film, the actors took to the Broadway stage, and the cast turned their cheeky banter into an impromptu love song.","Movies"
"457",457,"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.","Style"
"458",458,"At the state’s biggest political event of the year, candidates fought for frontrunner status before the first votes of the nomination race.","Podcasts"
"459",459,"No corrections appeared in print on Monday, November 4, 2019.","Corrections"
"460",460,"The magazine’s Ethicist columnist on reporting a toxic male boss and giving up pets for a grandson.","Magazine"
"461",461,"Start with a breathtaking site in Vermont, then get out the Lego blocks. If you choose the right architects, they’ll understand.","Real Estate"
"462",462,"Representative Mark Meadows and other allies of President Trump have offered shifting explanations over the president’s pressure on Ukraine to investigate a political rival.","U.S."
"463",463,"New general manager, new coach, new running back, new uniforms. Same result.","Sports"
"464",464,"As he tries to form a government, the would-be prime minister has focused on healing divisions inside his country, even more than on building bridges with the outside world.","World"
"465",465,"The party’s progressive and centrist flanks are each convinced that the other will lead to the president’s re-election.","Opinion"
"466",466,"See full results and maps from the New York special elections.","U.S."
"467",467,"See full results and maps from the Pennsylvania elections.","U.S."
"468",468,"See full results and maps from the Kentucky elections.","U.S."
"469",469,"See full results and maps from the Virginia elections.","U.S."
"470",470,"House impeachment investigators released the first transcripts of their private interviews, revealing crucial details as the inquiry enters its public phase.","U.S."
"471",471,"The founder of The Sioux Chef, a company devoted to Indigenous foods, created recipes to showcase tribal diversity across the lower 48 states.","Food"
"472",472,"John Okada’s “No-No Boy” captures the injustice of incarcerating Japanese-Americans during World War II — and serves as a warning today for our own fractured society.","T Magazine"
"473",473,"The Omega Workshops blurred the boundaries between visual and decorative art. Now, it’s become totemic for a cadre of contemporary designers.","T Magazine"
"474",474,"What first appears as a nondescript ’60s-era family home slowly reveals itself to be a paragon of surrealist design.","T Magazine"
"475",475,"An organic mix of animal prints, botanical patterns and camo colors are one with nature along Sweden’s Stora Gla lake.","T Magazine"
"476",476,"Hong Kong, Shanghai, Mexico.","Briefing"
"477",477,"Saudi Aramco, President Trump, WeWork.","Briefing"
"478",478,"The old iron scow had clung to rocks like a statue — until it broke free, stunning officials who thought “it would be there for all time.”","New York"
"479",479,"James Verini’s “They Will Have to Die Now” describes the battle for Mosul and the region’s long history.","Books"
"480",480,"In a letter to state regulators, the local leaders proposed using their collective resources to take over the utility, now in bankruptcy.","Business Day"
"481",481,"Grasses that have encroached from other regions can make wildfires more frequent, according to a new study. ","Climate"
"482",482,"Signs that the president’s advantage in the Electoral College has persisted or even increased since 2016.","The Upshot"
"483",483,"Little-known companies are amassing your data — like food orders and Airbnb messages — and selling the analysis to clients. Here’s how to get a copy of what they have on you.","Business Day"
"484",484,"Margaret Wilkerson Sexton’s new novel, “The Revisioners,” is told from the perspectives of a freed slave and her present-day descendant.","Books"
"485",485,"John Guzzetta returns to quench our thirst.","Crosswords & Games"
"486",486,"The plan includes $1 billion for an affordable housing investment fund as well as an effort to help first-time buyers.","Technology"
"487",487,"Making, washing and tossing apparel has a big environmental cost.","Opinion"
"488",488,"National polls have him firmly behind the leading candidates across the country, and questions remain over Mr. Buttigieg’s ability to create a diverse coalition. But in Iowa, he’s on the rise.","U.S."
"489",489,"“Loss is simply what happens to you in life. Meaning is what you make happen,” the author of a new book says.","Well"
"490",490,"Grosses have slipped in the show’s second year, though lower ticket prices may benefit fans.","Theater"
"491",491,"Off-year elections on Tuesday in Virginia, Kentucky and Mississippi will give the president his last multistate report card before 2020.","U.S."
"492",492,"Since the United States withdrew from the 2015 nuclear pact and imposed economic sanctions, Iran has steadily backed away from the agreement.","World"
"493",493,"With a populist message that promises to rein in corporate excess, Ms. Warren has been facing more hostility from the finance industry than any other candidate.","U.S."
"494",494,"Monday: It’s certainly a change. Also: President Trump targets Gov. Gavin Newsom on Twitter (again).","U.S."
"495",495,"The Islamic Republic’s heavy-handed interventions in regional affairs are provoking growing resentments, particularly in Shiite-led Iraq.","World"
"496",496,"Tuesday: Climate change is remapping the world of wine. Here’s how that’s playing out in California. Also: Dating on college campuses.","U.S."
"497",497,"The New York Police Department, like other law enforcement agencies, has created a podcast that delves into its most interesting cases.","Arts"
"498",498,"Her sheet-pan chicken with tomatoes and Parmesan is a riot of flavor and umami, the best kind of one-pan meal.","Food"
"499",499,"The director Tim Miller discusses a high-stakes sequence where a Terminator wreaks havoc in an auto factory.","Movies"
"500",500,"Spanning the Seine, of steel, stone and wood, the city’s many bridges offer lessons in history, architecture — and romance.","Travel"
"501",501,"Two climate science writers respond to questions about the economic impacts of rising temperatures.","Opinion"
"502",502,"The death of Ola Salem, whose body was discovered in a Staten Island park, has left her family and friends with more questions than answers.","New York"
"503",503,"To mark the end of the era, the pilot on the retirement flight for the 747 in Israel’s national airline zigged and zagged, following a route shaped like the jet itself. Call it sky art.","Business Day"
"504",504,"For years, he kept Latino families glued to their televisions as he dramatically revealed their futures, as foretold by the stars.","World"
"505",505,"It’s the latest in a string of incidents involving the Mississippi memorial sign, going back over a decade.","U.S."
"506",506,"An exodus of grocery stores is turning rural towns into food deserts. But some are fighting back by opening their own local markets.","U.S."
"507",507,"A driver hit the entire family, and faces charges of driving under the influence and gross vehicular manslaughter, the police said.","U.S."
"508",508,"Her debut memoir, “In the Dream House,” connects her adult traumas with her deepest childhood fears.","Books"
"509",509,"Here's what you need to know.","Briefing"
"510",510,"Sleep can affect work, but it’s also true that work can affect sleep.","The Upshot"
"511",511,"The home-sharing platform has offered several novelty lodging opportunities lately, like a stay in Barbie’s mansion or a night in the Goodyear blimp. They earn headlines, and that’s the point.","Business Day"
"512",512,"As a legislator in 1966, he led a commission that pushed to broaden the legal grounds for divorce. New York had been the last state to recognize only adultery.","New York"
"513",513,"The rapper’s gospel-influenced ninth album debuted at the top of the Billboard 200 with the equivalent of 264,000 sales.","Arts"
"514",514,"The writer says the president hurt her career when he said she had lied about him attacking her in a dressing room in the 1990s.","New York"
"515",515,"The Republican National Committee’s effort was meant to tie up phone lines of congressional Democrats as part of a broader plan to defend the president.","U.S."
"516",516,"The lawyer said his client would respond to written questions, but Republicans, who have pushed for him to appear at an open hearing in the impeachment inquiry, appeared unsatisfied.","U.S."
"517",517,"Here’s what you need to know.","Briefing"
"518",518,"This word has appeared in four articles on NYTimes.com in the past year.","The Learning Network"
"519",519,"Protests and the violent response of the government have shredded the myth of state-sponsored sectarianism as the organizing principle for political power.","Opinion"
"520",520,"You won’t beat Trump by taking unpopular positions.","Opinion"
"521",521,"Pierozek in Greenpoint is a New York version of PierozeQ from central Poland.","Food"
"522",522,"Orange Glou will send you bottles of these funky wines from around the world.","Food"
"523",523,"Yokan, a jellied confection, will be celebrated this week in New York.","Food"
"524",524,"A Shanghai soup dumpling restaurant in a Queens complex, a seasonal Korean menu from a former Neta chef, and more restaurant news.","Food"
"525",525,"Ephrat Asherie collaborates with her jazz pianist brother to place Ernesto Nazareth’s music in a world of breaking, house, hip-hop and vogue.","Arts"
"526",526,"Gov. Andrew M. Cuomo wants to spend more than $50 million a year on new police officers, even though the transit agency is facing a financial crisis. Opponents say the system is already overly policed.","New York"
"527",527,"Bernardine Evaristo’s novel, one of this year’s two Booker Prize winners, drifts back and forth in time to tell the interconnected stories of 12 women.","Books"
"528",528,"G/O Media’s editorial director, Paul Maidment, followed the staff of Deadspin out the door.","Business Day"
"529",529,"Walmart has taken stands on several controversial issues, but the retailer has been careful to alienate as few customers as possible while doing so.","Business Day"
"530",530,"The Puerto Rican astrologer, who died Saturday, left behind a cultural legacy in all of Latin America, where for decades many followed his predictions with devotion.","Arts"
"531",531,"Uogashi, in its new theater district home, offers omakase-quality nigiri without the forbidding prices of the latest sushi temples.","Food"
"532",532,"What movie, book, video game, album, show, restaurant or other work or experience is, to you, overrated, forgettable or just plain bad? Why?","The Learning Network"
"533",533,"The director Tim Miller narrates a sequence from his film.","Movies"
"534",534,"Nearly 200 investigations are underway at major academic centers. Critics fear that researchers of Chinese descent are being unfairly targeted.","Health"
"535",535,"The S.E.C. and Justice Department are looking into accounting practices and related activities dating back to 2017.","Business Day"
"536",536,"Season 2 of “The End of the ____ing World” starts streaming on Netflix, and a live production of the beloved Disney classic airs on ABC.","Arts"
"537",537,"His death comes as illegal miners, loggers and land grabbers are making more, and bolder, incursions into Indigenous land under the far-right Bolsonaro administration.","World"
"538",538,"A Turkish court sentenced two journalists, Ahmet Altan and Nazli Ilicak, on charges of aiding a terrorist group. It then released them on the basis of time served.","World"
"539",539,"He began his career with a show about teenagers, then helped get “Mary Hartman, Mary Hartman” and “The Facts of Life” onto the air.","Arts"
"540",540,"The artist accepts T’s challenge to make an object in less than one hour with only a few select items — including a copy of The New York Times.","T Magazine"
"541",541,"A sword said to have belonged to President William Henry Harrison was stolen in 1979. Last month, the sword — or one that looks like it — was found at an auction in Connecticut.","U.S."
"542",542,"At the deadline on Monday, the team decided not to extend a one-year, $17.8 million offer to Gregorius, which means they will receive no compensation if he signs with another team.","Sports"
"543",543,"Christopher John Rogers wins the CFDA/Vogue Fashion Fund Award.","Style"
"544",544,"Trent H. Evans rocks out.","Crosswords & Games"
"545",545,"No longer a lifelong New Yorker, the president returned to the city a week after being booed at the World Series.","Sports"
"546",546,"The Fab Five brings its self-help expertise to Tokyo, and “The Affair” reaches its series finale.","Arts"
"547",547,"Arrests for marijuana possession are most common, even as public opinion has shifted in favor of its legalization.","The Upshot"
"548",548,"A Cowboys-Giants Monday Night Football game was interrupted by something arguably more exciting: a cat that was unconcerned with the N.F.L.’s rules.","Sports"
"549",549,"Passé in its native Spain, the porrón has become a popular bar accessory among patrons who don’t mind possible wine stains.","Food"
"550",550,"Anthony Black’s play is about the life-sustaining power of creating art. But it never overcomes the dull short story from which it’s adapted.","Theater"
"551",551,"The ride-hailing company’s third-quarter loss was not as wide as the record $5.2 billion in the second quarter.","Technology"
"552",552,"The couple met six years ago on an Ultimate Frisbee field in Minneapolis.","Fashion & Style"
"553",553,"An excerpt from ‘In the Dream House’ by Carmen Maria Machado","Books"
"554",554,"A widow says starting a food group with friends helped her through the hardest times.","Opinion"
"555",555,"Scientists discovered that vulturine guineafowl live in multilevel societies reminiscent of our own.","Science"
"556",556,"Tom Workman’s name doesn’t appear in our report on the tests underpinning a million drunken-driving cases a year. But he was crucial to it.","Reader Center"
"557",557,"Fundamentalist groups that split from the Mormon church have for years navigated life amid the drug war in northern Mexico.","U.S."
"558",558,"For a pair of architecture buffs, building a home to keep forever was a challenge. So they started small, with a set of Lego blocks.","Real Estate"
"559",559,"How can we move from a broken system to one that covers everyone, restrains prices and improves outcomes?","Opinion"
"560",560,"The law of presidential succession is broken, and it ought to be fixed immediately.","Opinion"
"561",561,"Why can’t financial tycoons handle criticism?","Opinion"
"562",562,"By refusing to stay out of politics, the company is building the case for its own breakup.","Opinion"
"563",563,"The revenue ideas are pretty good. The plan is still a problem.","Opinion"
"564",564,"Chess helps answer the perennial human question, “What should I do next?”","Opinion"
"565",565,"Her big-government plans would damage rather than improve our economy.","Opinion"
"566",566,"A selection of recent books of interest; plus, a peek at what our colleagues around the newsroom are reading.","Books"
"567",567,"“Harleys in Hawaii” has been streamed and viewed millions of times, by a demographic the motorcycle maker has had a hard time reaching.","Business Day"
"568",568,"A suit by Sandy Hook families against Remington, the maker of the AR-15-style rifle used in the massacre, tries to test a law shielding the firearms industry from liability.","U.S."
"569",569,"Steve Easterbrook’s behavior violated company policy. “I agree with the board that it is time for me to move on,” he said in an email to employees.","Business Day"
"570",570,"After the near-collapse of WeWork, SoftBank may clamp down on the freedom afforded to the founders of companies it backs through its Vision Fund.","Business Day"
"571",571,"Quotation of the Day for Sunday, November 3, 2019","Today’s Paper"
"572",572,"The valuation of the giant oil producer remains a critical question in the wake its decision to go public.","Business Day"
"573",573,"See full results and maps from the Mississippi election.","U.S."
"574",574,"See full results and maps from the Mississippi elections.","U.S."
"575",575,"See full results and maps from the New Jersey elections.","U.S."
"576",576,"See full results and maps from the Colorado elections.","U.S."
"577",577,"Decades after they closed, many of these structures are finding new life in communities hit hard by long-term unemployment.","Business Day"
"578",578,"The release of the first two transcripts of testimony taken privately in the impeachment inquiry offered the public its first glimpse of how the investigation was unfolding.","U.S."
"579",579,"House Democrats released the first two transcripts of their closed-door impeachment testimonies.","U.S."
"580",580,"Is it reasonable for a police officer to assume that the owner of a vehicle is driving it when the owner’s license has been suspended?","U.S."
"581",581,"Vietnamese officials vowed “to fight and eradicate these rings which bring people illegally to Britain.” The authorities are still working to identify the 39 victims.","World"
"582",582,"Charles Wright, who has gathered five decades of work in the hefty new volume “Oblivion Banjo,” is obsessed with his own past and the nature of time.","Books"
"583",583,"In Western New York, two races illustrate vastly different paths, and funding sources, for Democratic challengers seeking upsets. That includes support from the billionaire George Soros.","New York"
"584",584,"Prosecute police officers who lie? Create a rainy-day fund? The city’s ballot questions comprise 19 issues, an exercise in “voting in bulk.”","New York"
"585",585,"Researchers in Japan and at the University of Michigan said they have found a way to take over the voice-controlled digital assistants.","Technology"
"586",586,"Outright fraud is rare, officials said. A Times investigation found that the program helped underwrite oligarchs, mobsters and far-right populists.","World"
"587",587,"The authorities hope al-Baghdadi's sister may provide a trove of intelligence.","World"
"588",588,"The new line of attack is a turnabout for Republicans, who for weeks had rallied around the cry of “no quid pro quo.”","U.S."
"589",589,"The congresswoman faced a lawsuit from a former Brooklyn politician who said her actions were unconstitutional.","New York"
"590",590,"The latest of Karina Yan Glaser’s Vanderbeekers books, featuring a large, biracial clan in Harlem, offers a case study in the pleasures of the familiar.","Books"
"591",591,"The season already has its share of surprises, even if the past four weeks might not say much about how it all ends.","Sports"
"592",592,"Public schools will require children in every grade to study sustainability. That could put Italy at the forefront of environmental education.","World"
"593",593,"Viewers continued to leave Fallon for Stephen Colbert and Jimmy Kimmel after Jim Bell, a veteran NBC executive, took charge of the show a year ago.","Business Day"
"594",594,"Facebook’s digital currency could spin up an entire shadow banking system, with potentially disastrous consequences.","Opinion"
"595",595,"The European Union spends $65 billion a year subsidizing agriculture. But a chunk of that money emboldens strongmen, enriches politicians and finances corrupt dealing.","World"
"596",596,"Steve Easterbrook violated policy, the company said. He’s not the first chief executive to be ousted over a consensual relationship with an employee.","Business Day"
"597",597,"Democrats leading the impeachment investigation are targeting the president’s acting chief of staff, citing evidence he may have been “directly involved” in Mr. Trump’s pressure campaign on Ukraine.","U.S."
"598",598,"If you wrote a book, what would it be about?","The Learning Network"
"599",599,"Sure, there’s some awkward innuendo. But that doesn’t spoil the annual thrill of seeing a troupe so effortlessly diverse, international and adept.","Theater"
"600",600,"In this lesson, students consider whether texts by people accused of sexual abuse and sexual harassment should be taught in school.","The Learning Network"
"601",601,"Two Republican candidates facing tough competition are hopeful that recent rallies by the president will prove decisive.","U.S."
"602",602,"“What I didn’t like is, we were going good and it stopped us,” Saquon Barkley said.","Sports"
"603",603,"Rejecting an appeal by a United States citizen, Israel’s Supreme Court ruled that his visa should not be renewed.","World"
"604",604,"Mr. Gaines chronicled the lives and struggles of black people in the South before the civil rights era; “The Autobiography of Miss Jane Pittman” is his best-known work.","Obituaries"
"605",605,"Glaskogen offers over 80 lakes, more than 180 miles of hiking trails — and proximity to other delightfully low-key attractions.","T Magazine"
"606",606,"New picture books celebrate the special bond between young people and their elders.","Books"
"607",607,"The Carolina Panthers quarterback was placed on the injured reserve list after having his left foot re-evaluated last week.","Sports"
"608",608,"Air pollution in New Delhi hit extreme levels over the weekend and into Monday. India’s government has declared a public health emergency, shut down schools and halted construction projects.","World"
"609",609,"An ill-treated war veteran, Frederick Douglass, colonial oppression: Mr. Branch’s Off Broadway work on race ranged widely. He also made a mark in TV.","Theater"
"610",610,"The high school teacher appeared to be dressed up as the rapper Common on Halloween. The president of the school board called the behavior “inappropriate, unprofessional and insensitive.”","U.S."
"611",611,"“I wouldn’t be shocked if the guys at Home Depot showed the smugglers how to do it,” Noah said of the holes. “Those guys will help you with any project.”","Arts"
"612",612,"Mayor Bill de Blasio defended his choice of a white police commissioner, saying the job was a “special calling.”","New York"
"613",613,"Sean Mahoney and Maria Ambrose perform part of a duet from “Scudorama” (1963).","Arts"
"614",614,"He is the third player to be suspended under the N.B.A. policy this season, joining the Nets’ Wilson Chandler and Phoenix’s Deandre Ayton.","Sports"
"615",615,"The Iraqi prisoner, who has undergone five surgeries on his spine, wanted civilian oversight of his care. He is scheduled to go on trial in September.","U.S."
"616",616,"Smoke machines! Spotlights! Thundersticks! And a very different presidential race.","U.S."
"617",617,"Penske bought the famous speedway and the IndyCar Series from the Hulman family, who owned the track since 1945.","Sports"
"618",618,"The 26.2-mile course takes some 50,000 runners through all five boroughs. They’ll see a little bit of everything along the way.","Sports"
"619",619,"A look at one of the entries from last week’s puzzles that stumped our solvers.","Crosswords & Games"
"620",620,"For a century, presidential candidates were discouraged from openly campaigning — lest they appear power hungry like the British king America revolted against. Here’s why that all changed.","Video"
"621",621,"As efforts stall at the federal level, labor groups are working to lift pay in specific occupations and industries in a growing number of cities.","Business Day"
"622",622,"This week’s experimental episode had plenty of action — and almost no dialogue.","Arts"
"623",623,"Liverpool’s chief executive, Peter Moore, doesn’t have the power that some of his Premier League peers enjoy. And that is exactly the way he wants it.","Sports"
"624",624,"The musician Stephen Morris said, “I’m still getting over the shock” at the unlikely recovery of his instrument.","World"
"625",625,"In a study, preschoolers who used screens less had better language skills.","Well"
"626",626,"“Maybe it’s magical,’’ a forest official joked about the reappearance of the boulder, a tourist attraction that sits off Route 89 in Arizona in Prescott National Forest.","U.S."
"627",627,"Colombia’s national tree, the wax palm, is endangered. Now, with decades of guerrilla war in retreat, scientists are rediscovering vast forests and racing to study and protect them.","Science"
"628",628,"In “Essays One,” compiling work from the 1970s forward, Davis proves herself a consummate observer of other writers and the world at large.","Books"
"629",629,"Poor Guatemalans, desperate to come to the United States, take out loans under false pretenses to finance their journey. The dream is often elusive.","World"
"630",630,"“Athena,” the debut album of boundary-defying, violin-driven music by Brittney Parks, is a “soundtrack of the making of a goddess.”","Arts"
"631",631,"Mr. Sondland said that the president delegated American policy on Ukraine to his personal lawyer.","U.S."
"632",632,"Six children were among the victims of a massacre attributed to organized crime, relatives said. Other children hid by a roadside and survived.","World"
"633",633,"The family has deep roots in Mexico and a history of speaking out about the criminal groups that plague their region.","World"
"634",634,"The secretary of state has been drawn deeply into the Ukraine affair, with a parade of his diplomats testifying. He is sticking by the president.","U.S."
"635",635,"The writer, a senior Trump administration official, plans to write a book to be published this month.","U.S."
"636",636,"She’s too brilliant to waste her time convincing racists of black people’s worth.","Opinion"
"637",637,"The European Union conceals data showing where billions in subsidies go. So we needed a workaround.","Reader Center"
"638",638,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","The Learning Network"
